,nsites,formula_pretty,volume,density,symmetry__crystal_system,symmetry__symbol,symmetry__number,symmetry__point_group,symmetry__symprec,symmetry__version,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_gap_direct,is_metal,ordering,total_magnetization,universal_anisotropy,theoretical,compounds_contain,compounds_contain_count
159,12,TiO2,154.21185053728396,3.439950445395855,Tetragonal,I4/m,87,4/m,0.1,2.0.2,-3.256716228055556,0.0653032275000011,False,2.5028,False,False,NM,0.0,,True,Ti O,2
160,12,TiO2,149.48184460122457,3.548799691067656,Trigonal,R3m,160,3m,0.1,2.0.2,-3.140966383055557,0.1810530724999992,False,2.4461,False,False,NM,0.0001873,2.523,True,Ti O,2
161,3,TiO2,54.222297442507575,2.44586244479738,Trigonal,R-3m,166,-3m,0.1,2.0.2,-3.1702173855555564,0.1518020700000004,False,2.6004,False,False,NM,0.0005319,,True,Ti O,2
162,12,TiO2,123.16487505448308,4.307081249474625,Orthorhombic,Pbcn,60,mmm,0.1,2.0.2,-3.3174958547222237,0.0045236008333322,False,2.5281,False,False,NM,0.0,0.371,False,Ti O,2
163,6,TiO2,112.60095236021291,2.3555800942252616,Hexagonal,P6_3/mmc,194,6/mmm,0.1,2.0.2,-0.5838880455555563,2.73813141,False,0.0,False,True,FiM,0.2225361,,True,Ti O,2
164,24,TiO2,258.4460227775256,4.105159895594103,Orthorhombic,Pbca,61,mmm,0.1,2.0.2,-3.3189781280555564,0.0030413275,False,2.2862,False,False,NM,0.0,0.128,False,Ti O,2
165,68,Ti(NO3)4,874.768871120761,2.246679207749813,Monoclinic,P2_1/c,14,2/m,0.1,2.0.2,-1.2248655315196075,0.0,True,3.6689,False,False,NM,0.0,,False,Ti O N,3
166,94,Ti17(NO4)6,1114.0984031525884,3.820884256848224,Triclinic,P-1,2,-1,0.1,2.0.2,-1.5496651690780143,1.5385871307446797,False,0.0,False,True,NM,0.0072242,,True,Ti O N,3
167,47,Ti17(NO4)6,556.5366795375903,3.8244029600370206,Monoclinic,C2,5,2,0.1,2.0.2,-3.052567361631205,0.0356849381914887,False,0.0051000000000005,False,False,NM,0.0004059,,True,Ti O N,3
168,94,Ti17(NO4)6,1113.3083695644484,3.823595659171092,Triclinic,P-1,2,-1,0.1,2.0.2,-3.052747382163121,0.0355049176595727,False,0.1609999999999996,False,False,NM,0.0027166,,True,Ti O N,3
169,94,Ti17(NO4)6,1112.842728731804,3.8251955458581,Triclinic,P-1,2,-1,0.1,2.0.2,-3.05273309716312,0.0355192026595734,False,0.0888999999999997,True,False,NM,4.69e-05,,True,Ti O N,3
170,94,Ti17(NO4)6,1112.9009422845268,3.824995457769284,Triclinic,P-1,2,-1,0.1,2.0.2,-3.0517598233333336,0.0364924764893608,False,0.0859999999999994,False,False,NM,0.0001427,,True,Ti O N,3
171,94,Ti17(NO4)6,1114.8059338356431,3.818459267201084,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.0508725854609926,0.0373797143617018,False,0.0,False,True,NM,0.2710037,,True,Ti O N,3
172,94,Ti17(NO4)6,1113.392063671125,3.8233082380250023,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.0491318429078014,0.0391204569148921,False,0.0,False,True,NM,0.0189983,,True,Ti O N,3
173,94,Ti17(NO4)6,1112.825997680557,3.825253056684447,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.051035911950354,0.0372163878723394,False,0.0,False,True,NM,0.0005126,,True,Ti O N,3
174,94,Ti17(NO4)6,1112.6880317170803,3.825727362786844,Triclinic,P-1,2,-1,0.1,2.0.2,-3.05297452035461,0.0352777794680836,False,0.1402000000000001,False,False,NM,0.0005711,,True,Ti O N,3
